fecha,campaña,finca,lote,variedad,hectareas,encargado,produccion_estimada_kg,produccion_real_kg,kg_cosechados,kg_pendientes,costo_por_ha,costo_total_lote,estado_cosecha,rendimiento_kg_ha
2023-03-01,2023,La Esperanza,LE-01,Eureka,30,Roberto Pérez,1119977.0,1146400.0,11311.0,1135089.0,943518.0,28305540.0,En cosecha,377.0
2023-03-08,2023,La Esperanza,LE-01,Eureka,30,Roberto Pérez,1119977.0,1146400.0,25748.0,1120652.0,943518.0,28305540.0,En cosecha,858.3
2023-03-15,2023,La Esperanza,LE-01,Eureka,30,Roberto Pérez,1119977.0,1146400.0,39159.0,1107241.0,943518.0,28305540.0,En cosecha,1305.3
2023-03-22,2023,La Esperanza,LE-01,Eureka,30,Roberto Pérez,1119977.0,1146400.0,52984.0,1093416.0,943518.0,28305540.0,En cosecha,1766.1
2023-03-29,2023,La Esperanza,LE-01,Eureka,30,Roberto Pérez,1119977.0,1146400.0,64150.0,1082250.0,943518.0,28305540.0,En cosecha,2138.3
2023-04-05,2023,La Esperanza,LE-01,Eureka,30,Roberto Pérez,1119977.0,1146400.0,103509.0,1042891.0,943518.0,28305540.0,En cosecha,3450.3
2023-04-12,2023,La Esperanza,LE-01,Eureka,30,Roberto Pérez,1119977.0,1146400.0,141458.0,1004942.0,943518.0,28305540.0,En cosecha,4715.3
2023-04-19,2023,La Esperanza,LE-01,Eureka,30,Roberto Pérez,1119977.0,1146400.0,173045.0,973355.0,943518.0,28305540.0,En cosecha,5768.2
2023-04-26,2023,La Esperanza,LE-01,Eureka,30,Roberto Pérez,1119977.0,1146400.0,204319.0,942081.0,943518.0,28305540.0,En cosecha,6810.6
2023-05-03,2023,La Esperanza,LE-01,Eureka,30,Roberto Pérez,1119977.0,1146400.0,246966.0,899434.0,943518.0,28305540.0,En cosecha,8232.2
2023-05-10,2023,La Esperanza,LE-01,Eureka,30,Roberto Pérez,1119977.0,1146400.0,291303.0,855097.0,943518.0,28305540.0,En cosecha,9710.1
2023-05-17,2023,La Esperanza,LE-01,Eureka,30,Roberto Pérez,1119977.0,1146400.0,338724.0,807676.0,943518.0,28305540.0,En cosecha,11290.8
2023-05-24,2023,La Esperanza,LE-01,Eureka,30,Roberto Pérez,1119977.0,1146400.0,384846.0,761554.0,943518.0,28305540.0,En cosecha,12828.2
2023-05-31,2023,La Esperanza,LE-01,Eureka,30,Roberto Pérez,1119977.0,1146400.0,429001.0,717399.0,943518.0,28305540.0,En cosecha,14300.0
