fecha,campaña,pedido_id,finca,lote,variedad,cliente,destino,pais_provincia,canal,producto,calibre,calidad,kg_vendidos,cajas,precio_unitario_usd,importe_usd,tipo_cambio,importe_ars,margen_estimado,moneda,estado_cobro,estado_pedido
2023-03-01,2023,PED-2023-00018,Los Álamos,LA-01,Eureka,Al Salam Trading,Exportación,Emiratos Árabes,Programa Retail UE,Limón Eureka,4,Segunda,4833.0,268.0,0.3275,1583.04,244.53,387100.77,0.2794,USD,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00029,Río Ancho,RA-03,Génova,Al Salam Trading,Exportación,Emiratos Árabes,Programa Retail UE,Limón Génova,7,Primera,2508.0,139.0,0.3133,785.64,233.43,183391.95,0.2241,USD,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00033,San Cayetano,SC-02,Lisbon,Al Salam Trading,Exportación,Emiratos Árabes,Programa Retail UE,Limón Lisbon,5,Primera,4269.0,237.0,0.3196,1364.43,234.85,320436.39,0.2078,USD,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00015,La Esperanza,LE-03,Lisbon,Citrus World Ltd,Exportación,Reino Unido,Programa Retail UE,Limón Lisbon,6,Primera,4644.0,258.0,0.3658,1698.76,235.62,400261.83,0.2282,USD,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00017,La Esperanza,LE-04,Génova,Citrus World Ltd,Exportación,Reino Unido,Trader Golfo,Limón Génova,3,Primera,2649.0,147.0,0.3726,987.05,247.14,243939.54,0.2522,USD,Pendiente,Cumplido
2023-03-01,2023,PED-2023-00023,Río Ancho,RA-01,Eureka,Citrus World Ltd,Exportación,Reino Unido,Programa Retail UE,Limón Eureka,4,Segunda,8663.0,481.0,0.3441,2981.01,240.47,716843.47,0.2539,USD,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00030,San Cayetano,SC-01,Eureka,Citrus World Ltd,Exportación,Reino Unido,Trader Golfo,Limón Eureka,6,Segunda,6418.0,357.0,0.33,2117.97,240.41,509181.17,0.2447,USD,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00035,San Cayetano,SC-03,Génova,Citrus World Ltd,Exportación,Reino Unido,Trader Golfo,Limón Génova,6,Primera,2877.0,160.0,0.3755,1080.33,250.45,270568.65,0.2453,USD,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00001,El Paraíso,EP-01,Eureka,Fischer Import GmbH,Exportación,Alemania,Exportación Directa,Limón Eureka,5,Extra,5911.0,328.0,0.4194,2478.88,241.87,599566.71,0.2325,USD,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00004,El Paraíso,EP-02,Eureka,Fischer Import GmbH,Exportación,Alemania,Trader Golfo,Limón Eureka,7,Primera,6340.0,352.0,0.3567,2261.73,239.46,541593.87,0.25,USD,Cobrado,Cumplido
