fecha,campaña,dolar_referencia,lluvia_mm,temperatura_min,temperatura_max,precio_referencia_usd,indice_riesgo_climatico
2023-03-01,2023,235.97,0.97,12.9,22.7,0.322,2.97
2023-03-02,2023,245.53,1.25,16.0,27.6,0.314,2.21
2023-03-03,2023,235.1,13.42,12.0,26.9,0.327,5.08
2023-03-04,2023,245.8,12.75,11.0,25.4,0.331,5.57
2023-03-05,2023,232.08,13.0,10.7,24.6,0.324,6.02
2023-03-06,2023,243.72,0.23,11.3,27.2,0.336,1.95
2023-03-07,2023,239.45,1.28,14.0,27.2,0.344,1.61
2023-03-08,2023,242.38,1.04,10.5,27.2,0.322,0.94
2023-03-09,2023,237.48,1.25,13.8,26.5,0.327,1.53
2023-03-10,2023,240.26,0.69,14.5,27.6,0.334,1.1
2023-03-11,2023,245.04,0.49,10.5,22.2,0.315,2.47
2023-03-12,2023,241.9,1.22,16.0,28.3,0.315,0.81
2023-03-13,2023,248.82,27.24,12.9,22.4,0.328,10.0
2023-03-14,2023,243.92,1.14,12.5,22.8,0.335,3.03
2023-03-15,2023,247.52,0.18,10.8,23.1,0.332,1.58
2023-03-16,2023,242.66,1.66,13.3,25.1,0.324,1.88
2023-03-17,2023,257.96,4.33,14.1,24.0,0.341,3.61
2023-03-18,2023,243.91,2.39,12.0,26.9,0.316,2.63
2023-03-19,2023,251.36,2.28,13.4,24.5,0.312,1.82
2023-03-20,2023,245.38,1.89,11.9,25.2,0.323,1.67
2023-03-21,2023,246.66,3.09,11.3,22.8,0.32,2.91
2023-03-22,2023,246.32,1.76,11.0,25.1,0.327,2.83
2023-03-23,2023,250.9,12.31,13.2,26.0,0.337,5.18
2023-03-24,2023,238.71,6.43,13.3,22.6,0.315,3.67
2023-03-25,2023,253.45,2.61,14.2,22.3,0.333,3.23
2023-03-26,2023,249.89,11.26,10.8,24.5,0.331,5.38
2023-03-27,2023,258.56,6.2,12.4,26.1,0.319,2.72
2023-03-28,2023,243.44,1.21,13.3,24.7,0.323,1.93
2023-03-29,2023,253.06,2.1,12.8,22.8,0.318,3.16
2023-03-30,2023,241.96,0.16,11.2,26.3,0.319,0.83
2023-03-31,2023,242.82,20.73,13.3,24.2,0.307,7.83
2023-04-01,2023,256.54,2.28,10.2,22.6,0.365,2.62
2023-04-02,2023,254.43,0.4,12.1,26.5,0.386,1.75
2023-04-03,2023,257.07,5.26,10.1,29.0,0.368,2.31
2023-04-04,2023,249.45,0.51,15.3,26.9,0.383,1.38
2023-04-05,2023,258.76,0.76,13.6,23.1,0.356,1.98
2023-04-06,2023,262.53,3.32,11.2,26.2,0.355,2.93
2023-04-07,2023,255.62,0.61,10.4,25.3,0.368,1.83
2023-04-08,2023,257.21,0.32,14.0,25.7,0.366,1.76
2023-04-09,2023,266.31,1.78,10.3,23.0,0.349,2.17
2023-04-10,2023,256.33,1.14,13.8,22.4,0.344,2.88
2023-04-11,2023,259.11,2.57,10.3,28.1,0.376,2.15
2023-04-12,2023,257.93,1.21,15.6,25.3,0.358,2.5
2023-04-13,2023,259.17,5.22,14.0,26.3,0.373,2.98
2023-04-14,2023,267.05,2.39,15.9,28.0,0.386,1.88
2023-04-15,2023,254.39,0.48,11.5,25.2,0.389,1.08
2023-04-16,2023,260.36,1.46,14.6,22.1,0.385,2.95
