fecha,campaña,finca,lote,centro_costo,tipo_costo,canal,importe,moneda
2023-03-01,2023,El Paraíso,EP-01,Campo,Fitosanitarios,General,92210.42,ARS
2023-03-01,2023,El Paraíso,EP-01,Campo,Mano de obra cosecha,Contrato Industria,8880.45,ARS
2023-03-01,2023,El Paraíso,EP-01,Campo,Riego,Distribuidor Regional,10718.46,ARS
2023-03-01,2023,El Paraíso,EP-01,Campo,Mano de obra cosecha,Exportación Directa,28228.07,ARS
2023-03-01,2023,El Paraíso,EP-01,Campo,Fitosanitarios,Mercado Central,11148.7,ARS
2023-03-01,2023,El Paraíso,EP-01,Campo,Maquinaria,Mercado Industrial,8637.5,ARS
2023-03-01,2023,El Paraíso,EP-01,Campo,Fitosanitarios,Programa Retail UE,26864.5,ARS
2023-03-01,2023,El Paraíso,EP-01,Campo,Maquinaria,Retail Nacional,7256.26,ARS
2023-03-01,2023,El Paraíso,EP-01,Campo,Riego,Trader Golfo,23494.79,ARS
2023-03-01,2023,El Paraíso,EP-01,Empaque,Energía,General,29713.46,ARS
2023-03-01,2023,El Paraíso,EP-01,Empaque,Control de calidad,Contrato Industria,9138.26,ARS
2023-03-01,2023,El Paraíso,EP-01,Empaque,Energía,Distribuidor Regional,11029.62,ARS
2023-03-01,2023,El Paraíso,EP-01,Empaque,Control de calidad,Exportación Directa,29047.54,ARS
2023-03-01,2023,El Paraíso,EP-01,Empaque,Mano de obra empaque,Mercado Central,11472.35,ARS
2023-03-01,2023,El Paraíso,EP-01,Empaque,Energía,Mercado Industrial,8888.25,ARS
2023-03-01,2023,El Paraíso,EP-01,Empaque,Envases y embalajes,Programa Retail UE,27644.39,ARS
2023-03-01,2023,El Paraíso,EP-01,Empaque,Mano de obra empaque,Retail Nacional,7466.91,ARS
2023-03-01,2023,El Paraíso,EP-01,Empaque,Mantenimiento líneas,Trader Golfo,24176.86,ARS
2023-03-01,2023,El Paraíso,EP-01,Logística,Flete exportación,Exportación Directa,268515.68,ARS
2023-03-01,2023,El Paraíso,EP-01,Comercial,Promoción comercial,Exportación Directa,28465.43,ARS
2023-03-01,2023,El Paraíso,EP-01,Logística,Flete interno,Contrato Industria,17653.64,ARS
2023-03-01,2023,El Paraíso,EP-01,Comercial,Viajes comerciales,Contrato Industria,302.83,ARS
2023-03-01,2023,El Paraíso,EP-01,Logística,Despacho aduana,Mercado Central,31840.3,ARS
2023-03-01,2023,El Paraíso,EP-01,Comercial,Comisiones,Mercado Central,2650.8,ARS
2023-03-01,2023,El Paraíso,EP-01,Administración,Honorarios,General,136523.0,ARS
2023-03-01,2023,El Paraíso,EP-01,Administración,Gastos generales,Contrato Industria,4377.98,ARS
2023-03-01,2023,El Paraíso,EP-01,Administración,Seguros,Distribuidor Regional,5284.1,ARS
2023-03-01,2023,El Paraíso,EP-01,Administración,Impuestos,Exportación Directa,13916.18,ARS
2023-03-01,2023,El Paraíso,EP-01,Administración,Sueldos administración,Mercado Central,5496.21,ARS
2023-03-01,2023,El Paraíso,EP-01,Administración,Impuestos,Mercado Industrial,4258.21,ARS
2023-03-01,2023,El Paraíso,EP-01,Administración,Sueldos administración,Programa Retail UE,13243.95,ARS
2023-03-01,2023,El Paraíso,EP-01,Administración,Honorarios,Retail Nacional,3577.27,ARS
2023-03-01,2023,El Paraíso,EP-01,Administración,Gastos generales,Trader Golfo,11582.72,ARS
2023-03-01,2023,El Paraíso,EP-02,Campo,Riego,General,139552.69,ARS
2023-03-01,2023,El Paraíso,EP-02,Campo,Mano de obra cosecha,Contrato Industria,12381.67,ARS
2023-03-01,2023,El Paraíso,EP-02,Campo,Mano de obra cosecha,Distribuidor Regional,17272.71,ARS
2023-03-01,2023,El Paraíso,EP-02,Campo,Mano de obra cosecha,Exportación Directa,54547.34,ARS
2023-03-01,2023,El Paraíso,EP-02,Campo,Maquinaria,Mercado Central,7854.55,ARS
2023-03-01,2023,El Paraíso,EP-02,Campo,Riego,Mercado Industrial,15777.15,ARS
2023-03-01,2023,El Paraíso,EP-02,Campo,Fitosanitarios,Programa Retail UE,36815.4,ARS
2023-03-01,2023,El Paraíso,EP-02,Campo,Insumos agrícolas,Retail Nacional,13169.98,ARS
2023-03-01,2023,El Paraíso,EP-02,Campo,Fitosanitarios,Trader Golfo,23110.73,ARS
2023-03-01,2023,El Paraíso,EP-02,Empaque,Mano de obra empaque,General,65731.42,ARS
2023-03-01,2023,El Paraíso,EP-02,Empaque,Envases y embalajes,Contrato Industria,12069.71,ARS
2023-03-01,2023,El Paraíso,EP-02,Empaque,Envases y embalajes,Distribuidor Regional,16837.51,ARS
2023-03-01,2023,El Paraíso,EP-02,Empaque,Mantenimiento líneas,Exportación Directa,53172.98,ARS
2023-03-01,2023,El Paraíso,EP-02,Empaque,Energía,Mercado Central,7656.65,ARS
2023-03-01,2023,El Paraíso,EP-02,Empaque,Envases y embalajes,Mercado Industrial,15379.63,ARS
2023-03-01,2023,El Paraíso,EP-02,Empaque,Envases y embalajes,Programa Retail UE,35887.8,ARS
2023-03-01,2023,El Paraíso,EP-02,Empaque,Mano de obra empaque,Retail Nacional,12838.15,ARS
2023-03-01,2023,El Paraíso,EP-02,Empaque,Envases y embalajes,Trader Golfo,22528.44,ARS
2023-03-01,2023,El Paraíso,EP-02,Logística,Flete interno,Trader Golfo,240218.62,ARS
2023-03-01,2023,El Paraíso,EP-02,Comercial,Comisiones,Trader Golfo,18554.52,ARS
2023-03-01,2023,El Paraíso,EP-02,Logística,Frigorífico,Mercado Industrial,18810.34,ARS
