fecha,campaña,finca,lote,variedad,kg_ingresados,kg_exportables,kg_industria,kg_descarte,calibre,calidad,turno,linea,cajas_producidas,horas_operativas,costo_empaque,rendimiento_exportable_pct
2023-03-01,2023,El Paraíso,EP-01,Eureka,10290.0,7873.0,1619.0,798.0,5,Extra,Mañana,Línea 1,437.0,5.0,649.19,76.5
2023-03-08,2023,El Paraíso,EP-01,Eureka,10134.0,7546.0,1643.0,945.0,3,Extra,Tarde,Línea 3,419.0,4.5,673.73,74.5
2023-03-15,2023,El Paraíso,EP-01,Eureka,9042.0,6827.0,1285.0,930.0,2,Primera,Mañana,Línea 1,379.0,4.5,545.17,75.5
2023-03-22,2023,El Paraíso,EP-01,Eureka,10980.0,7916.0,1752.0,1312.0,3,Primera,Tarde,Línea 3,440.0,5.2,831.02,72.1
2023-03-29,2023,El Paraíso,EP-01,Eureka,10358.0,7930.0,1488.0,940.0,5,Primera,Mañana,Línea 3,441.0,5.1,697.94,76.6
2023-04-05,2023,El Paraíso,EP-01,Eureka,26075.0,21247.0,3786.0,1042.0,3,Primera,Noche,Línea 1,1180.0,14.1,1947.37,81.5
2023-04-12,2023,El Paraíso,EP-01,Eureka,26512.0,21194.0,3994.0,1324.0,5,Extra,Mañana,Línea 2,1177.0,14.2,1603.94,79.9
2023-04-19,2023,El Paraíso,EP-01,Eureka,25048.0,20104.0,3029.0,1915.0,3,Primera,Mañana,Línea 2,1117.0,13.8,1504.28,80.3
2023-04-26,2023,El Paraíso,EP-01,Eureka,23738.0,17744.0,3366.0,2628.0,5,Segunda,Tarde,Línea 3,986.0,12.2,1672.52,74.7
2023-05-03,2023,El Paraíso,EP-01,Eureka,33478.0,26087.0,4245.0,3146.0,3,Segunda,Mañana,Línea 2,1449.0,14.5,2648.84,77.9
2023-05-10,2023,El Paraíso,EP-01,Eureka,37653.0,28906.0,5570.0,3177.0,6,Primera,Noche,Línea 3,1606.0,13.6,2781.96,76.8
2023-05-17,2023,El Paraíso,EP-01,Eureka,29930.0,22931.0,4197.0,2802.0,3,Extra,Tarde,Línea 2,1274.0,15.8,2139.85,76.6
2023-05-24,2023,El Paraíso,EP-01,Eureka,30986.0,23928.0,4373.0,2685.0,7,Segunda,Noche,Línea 2,1329.0,16.2,2132.11,77.2
2023-05-31,2023,El Paraíso,EP-01,Eureka,30259.0,24593.0,4034.0,1632.0,3,Primera,Mañana,Línea 2,1366.0,12.4,2428.35,81.3
2023-06-07,2023,El Paraíso,EP-01,Eureka,31657.0,25542.0,4505.0,1610.0,4,Primera,Tarde,Línea 3,1419.0,14.4,2309.89,80.7
2023-06-14,2023,El Paraíso,EP-01,Eureka,40529.0,33234.0,4438.0,2857.0,5,Primera,Mañana,Línea 3,1846.0,16.6,3111.36,82.0
2023-06-21,2023,El Paraíso,EP-01,Eureka,38875.0,30254.0,5138.0,3483.0,3,Primera,Mañana,Línea 3,1681.0,20.6,3128.93,77.8
2023-06-28,2023,El Paraíso,EP-01,Eureka,36377.0,28474.0,4809.0,3094.0,5,Extra,Mañana,Línea 1,1582.0,16.5,2634.21,78.3
2023-07-05,2023,El Paraíso,EP-01,Eureka,29888.0,24248.0,4222.0,1418.0,3,Extra,Mañana,Línea 2,1347.0,15.6,2401.03,81.1
2023-07-12,2023,El Paraíso,EP-01,Eureka,33859.0,27255.0,4213.0,2391.0,2,Segunda,Tarde,Línea 3,1514.0,13.4,2669.22,80.5
2023-07-19,2023,El Paraíso,EP-01,Eureka,33675.0,26681.0,4357.0,2637.0,4,Primera,Tarde,Línea 3,1482.0,17.4,2514.81,79.2
2023-07-26,2023,El Paraíso,EP-01,Eureka,30648.0,24491.0,4190.0,1967.0,4,Primera,Mañana,Línea 3,1361.0,12.3,1875.06,79.9
2023-08-02,2023,El Paraíso,EP-01,Eureka,26900.0,22058.0,3631.0,1211.0,4,Primera,Tarde,Línea 3,1225.0,14.4,1884.66,82.0
2023-08-09,2023,El Paraíso,EP-01,Eureka,26612.0,20850.0,3480.0,2282.0,4,Extra,Noche,Línea 3,1158.0,14.3,1559.98,78.3
2023-08-16,2023,El Paraíso,EP-01,Eureka,28384.0,22812.0,3602.0,1970.0,4,Primera,Noche,Línea 1,1267.0,14.0,1991.06,80.4
2023-08-23,2023,El Paraíso,EP-01,Eureka,28540.0,22614.0,3964.0,1962.0,5,Primera,Tarde,Línea 1,1256.0,14.5,2079.71,79.2
2023-08-30,2023,El Paraíso,EP-01,Eureka,23733.0,18364.0,3773.0,1596.0,4,Primera,Tarde,Línea 2,1020.0,12.7,1772.4,77.4
2023-09-06,2023,El Paraíso,EP-01,Eureka,17987.0,13804.0,2283.0,1900.0,7,Segunda,Mañana,Línea 3,767.0,9.3,1174.17,76.7
2023-09-13,2023,El Paraíso,EP-01,Eureka,19380.0,14911.0,3110.0,1359.0,3,Segunda,Noche,Línea 3,828.0,7.5,1410.19,76.9
2023-09-20,2023,El Paraíso,EP-01,Eureka,18700.0,14040.0,2761.0,1899.0,4,Primera,Mañana,Línea 1,780.0,8.2,1143.26,75.1
2023-09-27,2023,El Paraíso,EP-01,Eureka,20660.0,15626.0,2920.0,2114.0,7,Segunda,Mañana,Línea 3,868.0,7.8,1562.04,75.6
2023-10-04,2023,El Paraíso,EP-01,Eureka,8943.0,6347.0,1398.0,1198.0,6,Primera,Mañana,Línea 3,353.0,4.5,522.81,71.0
2023-10-11,2023,El Paraíso,EP-01,Eureka,7685.0,5700.0,1061.0,924.0,4,Primera,Tarde,Línea 1,317.0,4.5,490.22,74.2
2023-10-18,2023,El Paraíso,EP-01,Eureka,7450.0,5297.0,1324.0,829.0,4,Extra,Noche,Línea 3,294.0,4.5,451.72,71.1
2023-10-25,2023,El Paraíso,EP-01,Eureka,8901.0,6312.0,1361.0,1228.0,6,Primera,Tarde,Línea 1,351.0,4.5,617.95,70.9
