fecha,campaña,tipo,concepto,cliente_proveedor,importe,moneda,vencimiento,estado,banco_caja,categoria_flujo
2023-03-01,2023,Egreso,Certificaciones,Certificaciones Global GAP,18883.28,ARS,2023-03-12,Pagado,Banco BBVA,Operaciones
2023-03-01,2023,Egreso,Comisiones,Certificaciones Global GAP,136638.54,ARS,2023-03-16,Pagado,Caja Operativa,Operaciones
2023-03-01,2023,Egreso,Control de calidad,Energía Tucumán SA,617174.45,ARS,2023-03-07,Pagado,Banco Nación,Operaciones
2023-03-01,2023,Egreso,Despacho aduana,FríoAndes Logística,693766.5,ARS,2023-03-06,Pagado,Caja Operativa,Operaciones
2023-03-01,2023,Egreso,Energía,Envases del Tucumán,453754.86,ARS,2023-03-11,Pagado,Caja Operativa,Operaciones
2023-03-01,2023,Egreso,Envases y embalajes,Energía Tucumán SA,727811.18,ARS,2023-03-16,Pagado,Banco BBVA,Operaciones
2023-03-01,2023,Egreso,Fitosanitarios,Servicios Rurales del NOA,1059522.36,ARS,2023-03-13,Pagado,Caja Operativa,Operaciones
2023-03-01,2023,Egreso,Flete exportación,FríoAndes Logística,865798.58,ARS,2023-03-16,Pagado,Banco Nación,Operaciones
2023-03-01,2023,Egreso,Flete interno,Despachos del NOA,1160445.68,ARS,2023-03-06,Pagado,Banco Galicia,Operaciones
2023-03-01,2023,Egreso,Frigorífico,Despachos del NOA,963246.36,ARS,2023-03-13,Pagado,Banco Nación,Operaciones
2023-03-01,2023,Egreso,Gastos generales,DGR Tucumán,1412015.36,ARS,2023-03-22,Pagado,Banco Nación,Operaciones
2023-03-01,2023,Egreso,Honorarios,Contaduría Castillo,303670.31,ARS,2023-03-12,Pagado,Banco Nación,Impuestos
2023-03-01,2023,Egreso,Impuestos,Contaduría Castillo,496557.84,ARS,2023-03-12,Pagado,Caja Operativa,Operaciones
2023-03-01,2023,Egreso,Insumos agrícolas,Agroinsumos SA,634849.08,ARS,2023-03-16,Pagado,Banco Galicia,Operaciones
2023-03-01,2023,Egreso,Mano de obra cosecha,Cooperativa Citrícola,953278.95,ARS,2023-03-11,Pagado,Banco Galicia,Operaciones
